Name,TechStock,Date,Close,
"AMAZON.COM, INC. (XNAS:AMZN)",AMZN,01/03/2023,$92.17,
,,02/03/2023, $92.13 ,
,,03/03/2023, $94.90 ,
,,06/03/2023, $93.75 ,
,,07/03/2023, $93.55 ,
,,08/03/2023, $93.92 ,
,,09/03/2023, $92.25 ,
,,10/03/2023, $90.73 ,
,,13/03/2023, $92.43 ,
,,14/03/2023, $94.88 ,
,,15/03/2023, $96.20 ,
,,16/03/2023, $100.04 ,
,,17/03/2023, $98.95 ,
,,20/03/2023, $97.71 ,
,,21/03/2023, $100.61 ,
,,22/03/2023, $98.70 ,
,,23/03/2023, $98.71 ,
,,24/03/2023, $98.13 ,
,,27/03/2023, $98.04 ,
,,28/03/2023, $97.24 ,
,,29/03/2023, $100.25 ,
,,30/03/2023, $102.00 ,
,,31/03/2023, $103.29 ,
,,03/04/2023, $102.41 ,
,,04/04/2023, $103.95 ,
