Name,TechStock,Date,Close
ALPHABET INC. (XNAS:GOOG),GOOG,01/03/2023,90.51
,,02/03/2023,92.31
,,03/03/2023,94.02
,,06/03/2023,95.58
,,07/03/2023,94.17
,,08/03/2023,94.65
,,09/03/2023,92.66
,,10/03/2023,91.01
,,13/03/2023,91.66
,,14/03/2023,94.25
,,15/03/2023,96.55
,,16/03/2023,101.07
,,17/03/2023,102.46
,,20/03/2023,101.93
,,21/03/2023,105.84
,,22/03/2023,104.22
,,23/03/2023,106.26
,,24/03/2023,106.06
,,27/03/2023,103.06
,,28/03/2023,101.36
,,29/03/2023,101.90
,,30/03/2023,101.32
,,31/03/2023,104.00
,,03/04/2023,104.91
,,04/04/2023,105.12
